순번,디데이,공모전명,주최기관,상세링크,포스터URL,포스터파일
1,D-143,제14회 범정부 공공데이터·AI 활용 창업경진대회 공모전,행정안전부,https://linkareer.com/activity/314393,https://api.linkareer.com/attachments/810838?d=250xauto,posters/poster_1.jpg
2,D-48,2026 캠퍼스 특허 유니버시아드 대회 (CPU),한국발명진흥회,https://linkareer.com/activity/313620,https://api.linkareer.com/attachments/808511?d=250xauto,posters/poster_2.jpg
3,D-173,[서울특별시의회] 제5회 서울특별시의회 청년 학술 논문 공모전,서울시의회사무처,https://linkareer.com/activity/313615,https://api.linkareer.com/attachments/808484?d=250xauto,posters/poster_3.jpg
4,D-44,2026년 대학생 논문경진대회「장애의 재해석」,한국장애인재단,https://linkareer.com/activity/313553,https://api.linkareer.com/attachments/808233?d=250xauto,posters/poster_4.jpg
5,D-18,2026년 전국 통합데이터 활용 공모전,행정안전부,https://linkareer.com/activity/313490,https://api.linkareer.com/attachments/807984?d=250xauto,posters/poster_5.jpg
6,D-7,대전사이언스 페스티벌 흑백과학자2,대전광역시,https://linkareer.com/activity/313474,https://api.linkareer.com/attachments/807936?d=250xauto,posters/poster_6.jpg
7,D-14,제2회 공정거래 데이터 활용 공모전,공정거래위원회,https://linkareer.com/activity/313345,https://api.linkareer.com/attachments/807583?d=250xauto,posters/poster_7.jpg
8,D-20,[데이콘]월간 해커톤 : 투자 데이터를 시각화하라- Skills 기반 대시보드 설계(~4/30),데이콘 주식회사,https://linkareer.com/activity/313270,https://api.linkareer.com/attachments/807364?d=250xauto,posters/poster_8.jpg
9,D-7,2026 적정기술 기반 청년 창업 글로벌 실증 지원사업,대학산업기술지원단,https://linkareer.com/activity/313266,https://api.linkareer.com/attachments/807357?d=250xauto,posters/poster_9.jpg
10,D-38,KOSSDA대학생공모전 2026 - 데이터로 읽는 한국 사회: 변화와 미래를 그리다,서울대학교 한국사회과학자료원,https://linkareer.com/activity/313265,https://api.linkareer.com/attachments/807354?d=250xauto,posters/poster_10.jpg
11,D-24,[데이콘]스마트 창고 출고 지연 예측 AI 경진대회(~5/4),데이콘 주식회사,https://linkareer.com/activity/313187,https://api.linkareer.com/attachments/807120?d=250xauto,posters/poster_11.jpg
12,D-27,[국가데이터처] 2026년 국가데이터 활용대회,한국통계진흥원,https://linkareer.com/activity/313165,https://api.linkareer.com/attachments/807056?d=250xauto,posters/poster_12.jpg
13,D-38,기후에너지환경부 2026 AX 아이디어 경진대회,기후에너지환경부,https://linkareer.com/activity/313051,https://api.linkareer.com/attachments/806624?d=250xauto,posters/poster_13.jpg
14,D-30,‘2026년 AI 가상의류 디자인 공모전’ 디자인 모집 공고,서울패션허브,https://linkareer.com/activity/312985,https://api.linkareer.com/attachments/806377?d=250xauto,posters/poster_14.jpg
15,D-5,제8회 청소년 체커톤 대회(~4.15),한국언론진흥재단 미디어교육지원팀,https://linkareer.com/activity/312887,https://api.linkareer.com/attachments/806052?d=250xauto,posters/poster_15.jpg
16,D-81,2026 아두이노 메이커 공모전,엔티렉스,https://linkareer.com/activity/312872,https://api.linkareer.com/attachments/805992?d=250xauto,posters/poster_16.jpg
17,D-49,[한국디지털교육협회] 2026년 제16회 e-ICON 대회 중·고등 참가자를 모집합니다(~5/29 17시까지),한국디지털교육협회,https://linkareer.com/activity/312723,https://api.linkareer.com/attachments/805497?d=250xauto,posters/poster_17.jpg
18,D-27,제4회 청소년 전국 드론축구 경진대회,양천구,https://linkareer.com/activity/312695,https://api.linkareer.com/attachments/805396?d=250xauto,posters/poster_18.jpg
19,D-81,제31회 도시연구세미나 발표공모,인천연구원,https://linkareer.com/activity/312680,https://api.linkareer.com/attachments/805390?d=250xauto,posters/poster_19.jpg
20,D-20,2026년 국제법 학문후속세대 및 신진연구자 연구지원 사업 연구계획 공모,대한국제법학회,https://linkareer.com/activity/312575,https://api.linkareer.com/attachments/805014?d=250xauto,posters/poster_20.jpg
